dataset_name,fold_id,final_regret,final_BAC,final_F1,final_accuracy,original_regret,original_BAC,original_F1,original_accuracy,closure_rate,unresolved_ratio,average_defer_depth,average_closure_level,closed_at_leaf_count,closed_at_parent_count,closed_at_root_count,original_bnd_count,original_bnd_ratio,bnd_closure_rate,bnd_closed_error_rate,bnd_closed_regret,bnd_closed_at_parent_count,bnd_closed_at_root_count,bnd_early_rescue_count,bnd_early_rescue_error_rate,bnd_early_rescue_regret,bnd_early_rescue_positive_rate,bnd_early_rescue_at_leaf_count,bnd_early_rescue_at_parent_count,bnd_rescue_parent_candidate_count,bnd_rescue_parent_candidate_success_count,bnd_rescue_parent_candidate_success_rate,bnd_rescue_from_effective_root_count,bnd_rescue_from_effective_root_error_rate,root_bnd_count_after_rescue,non_root_bnd_count,non_root_bnd_rescue_count,non_root_bnd_rescue_rate,root_bnd_reduction_rate,rescue_vs_root_error_delta,rescue_vs_root_regret_delta,root_bnd_from_effective_root_count,root_bnd_from_rescue_failed_count,bnd_early_rescue_condition_counts,bnd_early_rescue_condition_error_rates,bnd_early_rescue_condition_regrets,cp_pass_count,cp_reject_count,cp_reject_defer_count,cp_disabled,cp_alpha,cp_reject_rate,cp_pass_error_rate,cp_reject_original_error_rate,cp_reject_final_error_rate,cp_rejected_pn_count,cp_rejected_pn_ratio,cp_rejected_original_error_rate,cp_rejected_final_error_rate,cp_rejected_final_regret,progressive_update_enabled,average_evidence_count,average_weight_entropy,progressive_closed_count
adult_bttwd,1,0.15152771380316288,0.8239713084829247,0.7268201617921594,0.8651926915399969,0.1583755565791494,0.8054802700378078,0.7115637319316689,0.8651926915399969,1.0,0.0,0.24074927068939045,1.3299554736680486,6057,196,2428,399,0.06126209120221096,1.0,0.3533834586466165,0.4191729323308271,195,41,357,0.33053221288515405,0.4086834733893557,0.27170868347338933,100,257,194,175,0.9020618556701031,175,0.33714285714285713,41,205,182,0.8878048780487805,0.8926829268292683,0.20605315296850452,0.09131652661064432,19,22,"{""posterior_margin+bucket_margin"": 111, ""posterior_margin+risk_gap"": 60, ""posterior_margin+risk_gap+bucket_margin"": 162, ""risk_gap+bucket_margin"": 24}","{""posterior_margin+bucket_margin"": 0.36036036036036034, ""posterior_margin+risk_gap"": 0.26666666666666666, ""posterior_margin+risk_gap+bucket_margin"": 0.32098765432098764, ""risk_gap+bucket_margin"": 0.4166666666666667}","{""posterior_margin+bucket_margin"": 0.5009009009009009, ""posterior_margin+risk_gap"": 0.3566666666666666, ""posterior_margin+risk_gap+bucket_margin"": 0.3728395061728395, ""risk_gap+bucket_margin"": 0.3541666666666667}",5670,444,444,False,0.1,0.07262021589793916,0.08800705467372134,0.5337837837837838,0.536036036036036,444,0.07262021589793916,0.5337837837837838,0.536036036036036,0.45563063063063053,True,0.24074927068939045,0.0403967489961116,843
adult_bttwd,2,0.14860257985257982,0.8283695759857341,0.7318885448916409,0.867014742014742,0.1507985257985258,0.8014631216564296,0.712059620596206,0.8694717444717445,1.0,0.0,0.21744471744471744,1.7977579852579852,6104,164,2090,409,0.0628071253071253,1.0,0.46943765281173594,0.4650366748166259,93,108,301,0.42524916943521596,0.44717607973421925,0.5780730897009967,174,127,74,74,1.0,74,0.5135135135135135,108,335,227,0.6776119402985075,0.6776119402985075,0.1673434231573766,0.06763873508059548,0,108,"{""posterior_margin+bucket_margin"": 30, ""posterior_margin+risk_gap"": 19, ""posterior_margin+risk_gap+bucket_margin"": 91, ""risk_gap+bucket_margin"": 161}","{""posterior_margin+bucket_margin"": 0.4666666666666667, ""posterior_margin+risk_gap"": 0.42105263157894735, ""posterior_margin+risk_gap+bucket_margin"": 0.34065934065934067, ""risk_gap+bucket_margin"": 0.4658385093167702}","{""posterior_margin+bucket_margin"": 0.6366666666666667, ""posterior_margin+risk_gap"": 0.5157894736842105, ""posterior_margin+risk_gap+bucket_margin"": 0.460989010989011, ""risk_gap+bucket_margin"": 0.39596273291925466}",5864,239,239,False,0.1,0.03916106832705227,0.09242837653478854,0.5523012552301255,0.5523012552301255,239,0.03916106832705227,0.5523012552301255,0.5523012552301255,0.46945606694560665,True,0.21744471744471744,0.044686726840807725,648
adult_bttwd,3,0.15115171990171988,0.8231746582127997,0.7272727272727272,0.8664004914004914,0.15174293611793613,0.8041379780067367,0.7132352941176471,0.8682432432432432,1.0,0.0,0.26274570024570026,2.054207616707617,6069,234,1706,540,0.08292383292383293,1.0,0.43148148148148147,0.5089814814814814,120,84,456,0.41885964912280704,0.5205043859649122,0.2543859649122807,314,142,143,106,0.7412587412587412,106,0.41509433962264153,84,397,350,0.8816120906801007,0.8816120906801007,0.08114035087719296,-0.07407581453634077,37,47,"{""posterior_margin+bucket_margin"": 119, ""posterior_margin+risk_gap"": 42, ""posterior_margin+risk_gap+bucket_margin"": 204, ""risk_gap+bucket_margin"": 91}","{""posterior_margin+bucket_margin"": 0.42857142857142855, ""posterior_margin+risk_gap"": 0.30952380952380953, ""posterior_margin+risk_gap+bucket_margin"": 0.37254901960784315, ""risk_gap+bucket_margin"": 0.5604395604395604}","{""posterior_margin+bucket_margin"": 0.596218487394958, ""posterior_margin+risk_gap"": 0.39166666666666666, ""posterior_margin+risk_gap+bucket_margin"": 0.5225490196078431, ""risk_gap+bucket_margin"": 0.4763736263736263}",5653,319,319,False,0.1,0.05341594105827194,0.08632584468423846,0.48589341692789967,0.4670846394984326,319,0.05341594105827194,0.48589341692789967,0.4670846394984326,0.3970219435736677,True,0.26274570024570026,0.04880181205612942,859
adult_bttwd,4,0.15227272727272725,0.8250868915527376,0.7255384615384616,0.8630221130221131,0.1548449017199017,0.8204213724324682,0.7236180904522613,0.8648648648648649,1.0,0.0,0.25614250614250617,1.5385442260442261,6038,230,2856,413,0.06342137592137592,1.0,0.3559322033898305,0.45944309927360777,230,31,382,0.34554973821989526,0.46020942408376964,0.12303664921465969,131,251,232,216,0.9310344827586207,216,0.3333333333333333,31,181,166,0.9171270718232044,0.9171270718232044,0.13832122952204023,-0.010209424083769736,16,15,"{""posterior_margin+bucket_margin"": 114, ""posterior_margin+risk_gap"": 102, ""posterior_margin+risk_gap+bucket_margin"": 154, ""risk_gap+bucket_margin"": 12}","{""posterior_margin+bucket_margin"": 0.40350877192982454, ""posterior_margin+risk_gap"": 0.3431372549019608, ""posterior_margin+risk_gap+bucket_margin"": 0.2922077922077922, ""risk_gap+bucket_margin"": 0.5}","{""posterior_margin+bucket_margin"": 0.5640350877192981, ""posterior_margin+risk_gap"": 0.4622549019607844, ""posterior_margin+risk_gap+bucket_margin"": 0.3847402597402597, ""risk_gap+bucket_margin"": 0.425}",5623,476,476,False,0.1,0.07804558124282669,0.08785345900764717,0.5273109243697479,0.5273109243697479,476,0.07804558124282669,0.5273109243697479,0.5273109243697479,0.4482142857142857,True,0.25614250614250617,0.04536969049275872,889
adult_bttwd,5,0.15096744471744472,0.826098218413579,0.7277777777777776,0.8645577395577395,0.152372542997543,0.8143874661515091,0.7216828478964401,0.8679361179361179,1.0,0.0,0.22972972972972974,1.4831081081081081,6033,171,2539,382,0.05866093366093366,1.0,0.4214659685863874,0.47604712041884817,171,108,274,0.3686131386861314,0.47536496350364965,0.18248175182481752,31,243,167,167,1.0,167,0.3413173652694611,108,215,107,0.49767441860465117,0.4976744186046511,0.1869424168694242,0.0024128142741280945,0,108,"{""posterior_margin+bucket_margin"": 97, ""posterior_margin+risk_gap"": 11, ""posterior_margin+risk_gap+bucket_margin"": 143, ""risk_gap+bucket_margin"": 23}","{""posterior_margin+bucket_margin"": 0.3711340206185567, ""posterior_margin+risk_gap"": 0.36363636363636365, ""posterior_margin+risk_gap+bucket_margin"": 0.34965034965034963, ""risk_gap+bucket_margin"": 0.4782608695652174}","{""posterior_margin+bucket_margin"": 0.5381443298969072, ""posterior_margin+risk_gap"": 0.4727272727272727, ""posterior_margin+risk_gap+bucket_margin"": 0.44405594405594406, ""risk_gap+bucket_margin"": 0.40652173913043477}",5762,368,368,False,0.1,0.0600326264274062,0.08903158625477264,0.5652173913043478,0.5652173913043478,368,0.0600326264274062,0.5652173913043478,0.5652173913043478,0.4804347826086956,True,0.22972972972972974,0.03400580538383203,750
