dataset_name,fold_id,final_regret,initial_binary_regret,final_binary_regret,initial_binary_error_rate,final_binary_error_rate,initial_binary_BAC,final_BAC,initial_binary_F1,final_F1,initial_binary_accuracy,final_accuracy,original_regret,original_BAC,original_F1,original_accuracy,closure_rate,unresolved_ratio,average_defer_depth,average_closure_level,closed_at_leaf_count,closed_at_parent_count,closed_at_root_count,original_bnd_count,original_bnd_ratio,bnd_closure_rate,bnd_closed_error_rate,bnd_closed_regret,bnd_closed_at_parent_count,bnd_closed_at_root_count,cp_pass_count,cp_reject_count,cp_reject_defer_count,cp_disabled,cp_alpha,cp_reject_rate,cp_pass_error_rate,cp_reject_original_error_rate,cp_reject_final_error_rate,cp_rejected_pn_count,cp_rejected_pn_ratio,cp_rejected_original_error_rate,cp_rejected_final_error_rate,cp_rejected_final_regret,progressive_update_enabled,average_evidence_count,average_weight_entropy,progressive_closed_count,binary_closure_sample_count,binary_closure_regret,binary_closure_error_rate,binary_closure_positive_rate,root_binary_tau,root_binary_tau_status,root_binary_tau_train_sample_count,binary_closure_at_leaf_count,binary_closure_at_parent_count,binary_closure_at_root_count
adult_bttwd,1,0.15119760479041916,0.14659143251957624,0.15119760479041916,0.13235068324888685,0.1377245508982036,0.8234140151726101,0.8187866630158347,0.7287602265575834,0.7199500468310959,0.8676493167511131,0.8622754491017964,0.14613081529249194,0.8120923753302766,0.7176508551145531,0.8656533087670812,1.0,0.0,0.10302471979118685,1.479348994319054,6513,0,2343,671,0.10302471979118685,1.0,0.353204172876304,0.4593889716840536,0,387,5842,0,0,True,0.1,0.0,0.11297500855871277,0.0,0.0,0,0.0,0.0,0.0,0.0,True,0.10302471979118685,0.0,671,671,0.4593889716840536,0.353204172876304,0.15499254843517138,0.4,optimized,7815,671,0,387
adult_bttwd,2,0.14315878378378377,0.14097051597051596,0.14315878378378377,0.13805282555282555,0.14173832923832924,0.8383146341060697,0.8369761739647315,0.734416543574594,0.7300380228136883,0.8619471744471745,0.8582616707616708,0.14108568796068796,0.8168672808929397,0.7200253084466941,0.8640970515970516,1.0,0.0,0.0770884520884521,1.506603194103194,6512,0,2862,502,0.0770884520884521,1.0,0.4601593625498008,0.46912350597609564,0,187,6010,0,0,True,0.1,0.0,0.1151414309484193,0.0,0.0,0,0.0,0.0,0.0,0.0,True,0.0770884520884521,0.0,502,502,0.46912350597609564,0.4601593625498008,0.5139442231075697,0.35,optimized,7815,502,0,187
adult_bttwd,3,0.14580773955773957,0.14327395577395577,0.14580773955773957,0.14910933660933662,0.15356265356265356,0.8423558136846971,0.840947179842811,0.7273237854535244,0.7225305216426193,0.8508906633906634,0.8464373464373465,0.14193028255528256,0.812854996367479,0.7184779103514995,0.8659398034398035,1.0,0.0,0.08783783783783784,1.9120085995085996,6512,0,2023,572,0.08783783783783784,1.0,0.5961538461538461,0.4812062937062937,0,110,5940,0,0,True,0.1,0.0,0.11094276094276094,0.0,0.0,0,0.0,0.0,0.0,0.0,True,0.08783783783783784,0.0,572,572,0.4812062937062937,0.5961538461538461,0.8793706293706294,0.3,optimized,7815,572,0,110
adult_bttwd,4,0.1512208230958231,0.15329391891891891,0.1512208230958231,0.16876535626535627,0.16246928746928746,0.8383383693283138,0.8374766775642295,0.7085653672765845,0.7128121606948968,0.8312346437346437,0.8375307125307125,0.14361947174447173,0.8205689435968562,0.7230046948356808,0.8640970515970516,1.0,0.0,0.10734029484029484,1.7607493857493857,6512,0,2247,699,0.10734029484029484,1.0,0.5522174535050072,0.47317596566523606,0,364,5813,0,0,True,0.1,0.0,0.11560295888525718,0.0,0.0,0,0.0,0.0,0.0,0.0,True,0.10734029484029484,0.0,699,699,0.47317596566523606,0.5522174535050072,0.6995708154506438,0.25,optimized,7815,699,0,364
adult_bttwd,5,0.14546222358722358,0.14327395577395577,0.14546222358722358,0.14020270270270271,0.1468058968058968,0.8355923073112741,0.8364694785681263,0.7304399173309714,0.7251293847038528,0.8597972972972973,0.8531941031941032,0.1413544226044226,0.8230890050194835,0.7267605633802817,0.8659398034398035,1.0,0.0,0.08445945945945946,1.823556511056511,6512,0,1250,550,0.08445945945945946,1.0,0.4727272727272727,0.45954545454545453,0,112,5962,0,0,True,0.1,0.0,0.11673934921167393,0.0,0.0,0,0.0,0.0,0.0,0.0,True,0.08445945945945946,0.0,550,550,0.45954545454545453,0.4727272727272727,0.5145454545454545,0.35,optimized,7815,550,0,112
