dataset_name,fold_id,bucket_id,parent_bucket_id,level,status,weak_reasons,effective_bucket_id,threshold_source_bucket,n_train,n_val,pos_val,neg_val,score,parent_score,gain,alpha,beta,stats_regret,stats_precision,stats_recall,stats_f1,stats_bac,stats_bnd_ratio,stats_pos_coverage,stats_n_samples,stats_auc
adult_bttwd,1,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=low,3,strong,[],L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,139,66,8,58,0.21212121212121213,0.1769356597600873,0.03518555236112483,0.4,0.2,0.15151515151515152,0.6666666666666666,0.25,0.36363636363636365,0.6163793103448276,0.0,0.045454545454545456,66.0,0.8125
adult_bttwd,1,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,L1_age=mid|L2_education=top,3,weak,"[""insufficient_improvement_over_parent""]",L1_age=mid|L2_education=top,L1_age=mid|L2_education=top,123,52,23,29,0.10416666666666674,0.49224173131890575,-0.388075064652239,0.8,0.2,0.28365384615384615,0.9230769230769231,0.5217391304347826,0.6666666666666667,0.4160419790104948,0.5576923076923077,0.25,52.0,0.8125937031484258
adult_bttwd,2,ROOT,,0,strong,[],ROOT,ROOT,18234,7815,1882,5933,0.5147123512090146,,,0.5,0.3,0.15233525271912987,0.7825,0.665249734325186,0.7191269385410684,0.7604859829556151,0.10415866922584772,0.20473448496481125,7815.0,0.9268911094182595
adult_bttwd,2,L1_age=young,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,3645,1480,26,1454,0.49350868725868724,0.5147123512090146,-0.021203663950327356,0.8,0.4,0.01706081081081081,1.0,0.34615384615384615,0.5142857142857142,0.6703258914400593,0.007432432432432433,0.006081081081081081,1480.0,0.9425457623531901
adult_bttwd,2,L1_age=old,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,6216,2713,954,1759,0.46532021595748674,0.5147123512090146,-0.04939213525152786,0.5,0.3,0.2000552893475857,0.7786697247706422,0.7117400419287212,0.7437020810514786,0.7282406861150144,0.1566531514928124,0.3214154072981939,2713.0,0.9060414662895704
adult_bttwd,2,L1_age=mid,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,4779,2018,392,1626,0.3985411644215716,0.5147123512090146,-0.11617118678744298,0.5,0.2,0.15473240832507434,0.7827715355805244,0.5331632653061225,0.6342943854324735,0.6795582624193589,0.1620416253716551,0.13230921704658077,2018.0,0.899239400557271
adult_bttwd,2,L1_age=very_old,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,3594,1604,510,1094,0.4862956778200636,0.5147123512090146,-0.028416673388950986,0.5,0.3,0.18905860349127182,0.7924107142857143,0.696078431372549,0.7411273486430062,0.7433774240957809,0.13154613466334164,0.2793017456359102,1604.0,0.90639226440119
adult_bttwd,2,L1_age=old|L2_education=high,L1_age=old,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,2984,1296,521,775,0.4426408725991271,0.46532021595748674,-0.022679343358359638,0.5,0.3,0.2334104938271605,0.7374301675977654,0.7600767754318618,0.7485822306238185,0.7148770973933503,0.14506172839506173,0.41435185185185186,1296.0,0.8817831713206614
adult_bttwd,2,L1_age=mid|L2_education=high,L1_age=mid,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,2398,962,242,720,0.3763940971884897,0.3985411644215716,-0.022147067233081907,0.5,0.2,0.18737006237006237,0.7580645161290323,0.5826446280991735,0.6588785046728972,0.676044536271809,0.19022869022869024,0.19334719334719336,962.0,0.8861914600550963
adult_bttwd,2,L1_age=mid|L2_education=mid,L1_age=mid,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,1952,872,85,787,0.26212319790301447,0.3985411644215716,-0.13641796651855714,0.4,0.3,0.11123853211009174,0.8148148148148148,0.25882352941176473,0.3928571428571429,0.6116226922789446,0.0389908256880734,0.03096330275229358,872.0,0.8709320577023694
adult_bttwd,2,L1_age=young|L2_education=mid,L1_age=young,2,strong,[],L1_age=young|L2_education=mid,L1_age=young|L2_education=mid,1679,701,8,693,0.6581074655254399,0.49350868725868724,0.16459877826675262,0.6,0.5,0.008559201141226819,1.0,0.5,0.6666666666666666,0.75,0.0,0.005706134094151213,701.0,0.9857503607503608
adult_bttwd,2,L1_age=very_old|L2_education=mid,L1_age=very_old,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,1561,728,137,591,0.25103021978021983,0.4862956778200636,-0.23526545803984378,0.5,0.3,0.1823489010989011,0.7464788732394366,0.38686131386861317,0.5096153846153847,0.6172885249546112,0.15247252747252749,0.09752747252747253,728.0,0.8655563377672386
adult_bttwd,2,L1_age=young|L2_education=low,L1_age=young,2,weak,"[""invalid_structural_score""]",ROOT,ROOT,83,35,0,35,,0.49350868725868724,,,,,,,,,,,,
adult_bttwd,2,L1_age=mid|L2_education=top,L1_age=mid,2,strong,[],L1_age=mid|L2_education=top,L1_age=mid|L2_education=top,311,127,63,64,0.4940254178753972,0.3985411644215716,0.09548425345382561,0.6,0.3,0.20669291338582677,0.9019607843137255,0.7301587301587301,0.8070175438596492,0.7010168650793651,0.2125984251968504,0.4015748031496063,127.0,0.9040178571428572
adult_bttwd,2,L1_age=old|L2_education=low,L1_age=old,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,193,72,3,69,-0.0625,0.46532021595748674,-0.5278202159574867,0.4,0.3,0.0625,0.0,0.0,0.0,0.5,0.0,0.0,72.0,0.7536231884057971
adult_bttwd,2,L1_age=young|L2_education=high,L1_age=young,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,1854,734,18,716,0.40310685937685115,0.49350868725868724,-0.0904018278818361,0.8,0.4,0.025544959128065394,1.0,0.2777777777777778,0.4347826086956522,0.6346989447548107,0.01226158038147139,0.006811989100817439,734.0,0.9150372439478585
adult_bttwd,2,L1_age=mid|L2_education=low,L1_age=mid,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,118,57,2,55,-0.05263157894736842,0.3985411644215716,-0.45117274336894003,0.6,0.5,0.05263157894736842,0.0,0.0,0.0,0.5,0.0,0.0,57.0,0.4727272727272728
adult_bttwd,2,L1_age=very_old|L2_education=high,L1_age=very_old,2,strong,[],L1_age=very_old|L2_education=high,L1_age=very_old|L2_education=high,1309,580,245,335,0.5115817473137159,0.4862956778200636,0.025286069493652252,0.5,0.3,0.20646551724137932,0.7845528455284553,0.7877551020408163,0.7861507128309573,0.7431312823636917,0.13620689655172413,0.4241379310344828,580.0,0.9014316174230886
adult_bttwd,2,L1_age=very_old|L2_education=low,L1_age=very_old,2,strong,[],L1_age=very_old|L2_education=low,L1_age=very_old|L2_education=low,286,115,10,105,0.6978260869565216,0.4862956778200636,0.211530409136458,0.5,0.4,0.05217391304347826,1.0,0.6,0.7499999999999999,0.8,0.0,0.05217391304347826,115.0,0.9038095238095238
adult_bttwd,2,L1_age=old|L2_education=top,L1_age=old,2,strong,[],L1_age=old|L2_education=top,L1_age=old|L2_education=top,740,329,230,99,0.6208108214564719,0.46532021595748674,0.1554906054989852,0.5,0.2,0.18768996960486323,0.871244635193133,0.8826086956521739,0.876889848812095,0.6635265700483092,0.13677811550151975,0.7082066869300911,329.0,0.87610891523935
adult_bttwd,2,L1_age=very_old|L2_education=top,L1_age=very_old,2,strong,[],L1_age=very_old|L2_education=top,L1_age=very_old|L2_education=top,438,181,118,63,0.4969078962326352,0.4862956778200636,0.010612218412571595,0.5,0.1,0.2292817679558011,0.824,0.8728813559322034,0.8477366255144032,0.523742265267689,0.2430939226519337,0.6906077348066298,181.0,0.8547215496368039
adult_bttwd,2,L1_age=young|L2_education=top,L1_age=young,2,weak,"[""insufficient_train_samples""]",ROOT,ROOT,29,10,0,10,,0.49350868725868724,,,,,,,,,,,,
adult_bttwd,2,L1_age=old|L2_education=mid,L1_age=old,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,2299,1016,200,816,0.25962415914898057,0.46532021595748674,-0.20569605680850617,0.5,0.3,0.1687992125984252,0.7843137254901961,0.4,0.5298013245033113,0.6105392156862746,0.20275590551181102,0.10039370078740158,1016.0,0.8961672794117647
adult_bttwd,2,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,L1_age=old|L2_education=top,3,weak,"[""insufficient_improvement_over_parent""]",L1_age=old|L2_education=top,L1_age=old|L2_education=top,73,31,14,17,0.4532258064516129,0.6208108214564719,-0.167585015004859,0.5,0.1,0.20161290322580644,0.9090909090909091,0.7142857142857143,0.8,0.6512605042016807,0.2903225806451613,0.3548387096774194,31.0,0.9033613445378151
adult_bttwd,2,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=mid,3,strong,[],L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,414,194,12,182,0.4381443298969072,0.25103021978021983,0.18711411011668738,0.5,0.4,0.061855670103092786,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0,0.020618556701030927,194.0,0.8447802197802199
adult_bttwd,2,L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,L1_age=old|L2_education=top,3,weak,"[""insufficient_improvement_over_parent""]",L1_age=old|L2_education=top,L1_age=old|L2_education=top,347,165,105,60,0.5472112428634167,0.6208108214564719,-0.07359957859305521,0.6,0.2,0.21212121212121213,0.8627450980392157,0.8380952380952381,0.8502415458937198,0.6523809523809524,0.18181818181818182,0.6181818181818182,165.0,0.8604761904761905
adult_bttwd,2,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=old|L2_education=mid,3,strong,[],L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,288,130,5,125,0.7115384615384615,0.25962415914898057,0.4519143023894809,0.4,0.3,0.023076923076923078,1.0,0.6,0.7499999999999999,0.788,0.03076923076923077,0.023076923076923078,130.0,0.9536
adult_bttwd,2,L1_age=mid|L2_education=low|L3_hours-per-week=low_hours,L1_age=mid|L2_education=low,3,weak,"[""insufficient_train_samples""]",ROOT,ROOT,25,7,0,7,,-0.05263157894736842,,,,,,,,,,,,
adult_bttwd,2,L1_age=very_old|L2_education=low|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=low,3,weak,"[""insufficient_train_samples""]",L1_age=very_old|L2_education=low,L1_age=very_old|L2_education=low,40,16,5,11,,0.6978260869565216,,,,,,,,,,,,
adult_bttwd,2,L1_age=mid|L2_education=low|L3_hours-per-week=high_hours,L1_age=mid|L2_education=low,3,weak,"[""insufficient_train_samples""]",ROOT,ROOT,16,8,0,8,,-0.05263157894736842,,,,,,,,,,,,
adult_bttwd,2,L1_age=young|L2_education=top|L3_hours-per-week=normal_hours,L1_age=young|L2_education=top,3,weak,"[""insufficient_train_samples""]",ROOT,ROOT,14,5,0,5,,0.5147123512090146,,,,,,,,,,,,
adult_bttwd,2,L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,L1_age=very_old|L2_education=high,3,weak,"[""insufficient_improvement_over_parent""]",L1_age=very_old|L2_education=high,L1_age=very_old|L2_education=high,309,136,26,110,0.4636655193992491,0.5115817473137159,-0.04791622791446676,0.5,0.4,0.1636029411764706,0.7142857142857143,0.5769230769230769,0.6382978723404256,0.7520979020979021,0.022058823529411766,0.15441176470588236,136.0,0.8486013986013987
adult_bttwd,2,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L1_age=mid|L2_education=high,3,strong,[],L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,610,259,94,165,0.39408268621751763,0.3763940971884897,0.017688589029027924,0.5,0.2,0.22393822393822393,0.7857142857142857,0.7021276595744681,0.7415730337078651,0.6571244358478401,0.2471042471042471,0.32432432432432434,259.0,0.8742746615087041
adult_bttwd,2,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=top,3,strong,[],L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,162,74,53,21,0.6429249497431316,0.4969078962326352,0.14601705351049643,0.4,0.3,0.21283783783783783,0.7794117647058824,1.0,0.8760330578512397,0.5714285714285714,0.04054054054054054,0.918918918918919,74.0,0.8023360287511231
adult_bttwd,2,L1_age=young|L2_education=high|L3_hours-per-week=low_hours,L1_age=young|L2_education=high,3,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,866,358,1,357,-0.004189944134078212,0.40310685937685115,-0.40729680351092934,0.5,0.4,0.004189944134078212,0.0,0.0,0.0,0.5,0.0,0.0,358.0,0.6526610644257703
adult_bttwd,2,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=mid,3,strong,[],L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,1262,612,56,556,0.27100018411120314,0.26212319790301447,0.008876986208188664,0.5,0.3,0.10212418300653595,0.9333333333333333,0.25,0.39436619718309857,0.6079136690647482,0.042483660130718956,0.024509803921568627,612.0,0.8830935251798562
adult_bttwd,2,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,L1_age=mid|L2_education=high,3,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,306,114,12,102,0.3135964912280702,0.3763940971884897,-0.0627976059604195,0.6,0.1,0.10307017543859649,1.0,0.3333333333333333,0.5,0.5980392156862745,0.16666666666666666,0.03508771929824561,114.0,0.9093137254901961
adult_bttwd,2,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,L1_age=old|L2_education=low,3,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,118,46,2,44,-0.06521739130434782,-0.0625,-0.0027173913043478243,0.4,0.2,0.06521739130434782,0.0,0.0,0.0,0.5,0.0,0.0,46.0,0.6931818181818181
adult_bttwd,2,L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L1_age=old|L2_education=high,3,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,1807,771,271,500,0.4016526936499658,0.4426408725991271,-0.04098817894916129,0.6,0.4,0.21530479896238652,0.7990654205607477,0.6309963099630996,0.7051546391752577,0.6974981549815498,0.17639429312581065,0.2775616083009079,771.0,0.8871660516605167
